ERROR - 2023-06-05 08:55:53 --> Query error: Duplicate entry '2022200000000007354' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2022200000000007354, '98', 2022200000000000266, 4)
ERROR - 2023-06-05 08:55:53 --> Query error: Duplicate entry '2022200000000007355' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2022200000000007355, '99', 2022200000000000266, 4)
ERROR - 2023-06-05 08:55:53 --> Query error: Duplicate entry '2022200000000007356' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2022200000000007356, '100', 2022200000000000266, 4)
ERROR - 2023-06-05 08:55:53 --> Query error: Duplicate entry '2022200000000007357' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2022200000000007357, '101', 2022200000000000266, 4)
ERROR - 2023-06-05 08:55:53 --> Query error: Duplicate entry '2022200000000007358' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2022200000000007358, '102', 2022200000000000266, 4)
ERROR - 2023-06-05 08:55:53 --> Query error: Duplicate entry '2022200000000007359' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2022200000000007359, '103', 2022200000000000266, 4)
ERROR - 2023-06-05 08:55:53 --> Query error: Duplicate entry '2022200000000007361' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2022200000000007361, '104', 2022200000000000266, 4)
ERROR - 2023-06-05 08:55:53 --> Query error: Duplicate entry '2022200000000007362' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2022200000000007362, '105', 2022200000000000266, 4)
ERROR - 2023-06-05 08:55:53 --> Query error: Duplicate entry '2022200000000007363' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2022200000000007363, '106', 2022200000000000266, 4)
ERROR - 2023-06-05 08:55:53 --> Query error: Duplicate entry '2022200000000007364' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2022200000000007364, '107', 2022200000000000266, 4)
ERROR - 2023-06-05 08:55:53 --> Query error: Duplicate entry '2022200000000007365' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2022200000000007365, '108', 2022200000000000266, 4)
ERROR - 2023-06-05 08:55:53 --> Query error: Duplicate entry '2022200000000007366' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2022200000000007366, '2042600000201', 2022200000000000266, 4)
ERROR - 2023-06-05 08:55:53 --> Query error: Duplicate entry '2022200000000007367' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2022200000000007367, '109', 2022200000000000266, 4)
ERROR - 2023-06-05 08:55:53 --> Query error: Duplicate entry '2022200000000007368' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2022200000000007368, '110', 2022200000000000266, 4)
ERROR - 2023-06-05 08:55:53 --> Query error: Duplicate entry '2022200000000007369' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2022200000000007369, '111', 2022200000000000266, 4)
