ERROR - 2022-06-15 14:50:32 --> Query error: Duplicate entry '2021200000000020480' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2021200000000020480, '4', 2021200000000000755, 83)
ERROR - 2022-06-15 14:50:32 --> Query error: Duplicate entry '2021200000000020481' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2021200000000020481, '5', 2021200000000000755, 86)
ERROR - 2022-06-15 14:50:32 --> Query error: Duplicate entry '2021200000000020482' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2021200000000020482, '6', 2021200000000000755, 81)
ERROR - 2022-06-15 14:50:32 --> Query error: Duplicate entry '2021200000000020483' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2021200000000020483, '7', 2021200000000000755, 85)
ERROR - 2022-06-15 14:50:32 --> Query error: Duplicate entry '2021200000000020485' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2021200000000020485, '8', 2021200000000000755, 93)
ERROR - 2022-06-15 14:50:32 --> Query error: Duplicate entry '2021200000000020486' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2021200000000020486, '9', 2021200000000000755, 79)
ERROR - 2022-06-15 14:50:32 --> Query error: Duplicate entry '2021200000000020487' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2021200000000020487, '10', 2021200000000000755, 79)
ERROR - 2022-06-15 14:50:32 --> Query error: Duplicate entry '2021200000000020488' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2021200000000020488, '11', 2021200000000000755, 83)
ERROR - 2022-06-15 14:50:32 --> Query error: Duplicate entry '2021200000000020489' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2021200000000020489, '12', 2021200000000000755, 98)
