ERROR - 2023-06-06 06:33:28 --> Query error: Duplicate entry '2022200000000012288' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2022200000000012288, '4', 2022200000000000449, 95)
ERROR - 2023-06-06 06:33:28 --> Query error: Duplicate entry '2022200000000012289' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2022200000000012289, '5', 2022200000000000449, 95)
ERROR - 2023-06-06 06:33:28 --> Query error: Duplicate entry '2022200000000012290' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2022200000000012290, '6', 2022200000000000449, 95)
ERROR - 2023-06-06 06:33:28 --> Query error: Duplicate entry '2022200000000012291' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2022200000000012291, '2042600000206', 2022200000000000448, 96)
ERROR - 2023-06-06 06:33:28 --> Query error: Duplicate entry '2022200000000012292' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2022200000000012292, '2042600000207', 2022200000000000448, 88)
ERROR - 2023-06-06 06:33:28 --> Query error: Duplicate entry '2022200000000012293' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2022200000000012293, '2042600000260', 2022200000000000448, 97)
ERROR - 2023-06-06 06:33:28 --> Query error: Duplicate entry '2022200000000012294' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2022200000000012294, '2042600000261', 2022200000000000448, 99)
ERROR - 2023-06-06 06:33:28 --> Query error: Duplicate entry '2022200000000012295' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2022200000000012295, '2042600000210', 2022200000000000448, 92)
ERROR - 2023-06-06 06:33:28 --> Query error: Duplicate entry '2022200000000012296' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2022200000000012296, '12', 2022200000000000449, 95)
ERROR - 2023-06-06 06:33:28 --> Query error: Duplicate entry '2022200000000012297' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2022200000000012297, '2042600000222', 2022200000000000449, 95)
ERROR - 2023-06-06 06:33:28 --> Query error: Duplicate entry '2022200000000012298' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2022200000000012298, '13', 2022200000000000449, 95)
ERROR - 2023-06-06 06:33:28 --> Query error: Duplicate entry '2022200000000012299' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2022200000000012299, '14', 2022200000000000449, 95)
ERROR - 2023-06-06 06:33:28 --> Query error: Duplicate entry '2022200000000012300' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2022200000000012300, '15', 2022200000000000449, 95)
ERROR - 2023-06-06 06:33:29 --> Query error: Duplicate entry '2022200000000012302' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2022200000000012302, '16', 2022200000000000449, 95)
ERROR - 2023-06-06 06:33:29 --> Query error: Duplicate entry '2022200000000012303' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2022200000000012303, '17', 2022200000000000449, 95)
ERROR - 2023-06-06 06:33:29 --> Query error: Duplicate entry '2022200000000012304' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2022200000000012304, '18', 2022200000000000449, 95)
ERROR - 2023-06-06 06:33:29 --> Query error: Duplicate entry '2022200000000012305' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2022200000000012305, '2042600000269', 2022200000000000448, 90)
ERROR - 2023-06-06 06:33:29 --> Query error: Duplicate entry '2022200000000012306' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2022200000000012306, '2042600000225', 2022200000000000448, 92)
ERROR - 2023-06-06 06:33:29 --> Query error: Duplicate entry '2022200000000012307' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2022200000000012307, '2042600000203', 2022200000000000450, 98)
ERROR - 2023-06-06 06:33:29 --> Query error: Duplicate entry '2022200000000012308' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2022200000000012308, '2042600000204', 2022200000000000450, 98)
ERROR - 2023-06-06 06:33:29 --> Query error: Duplicate entry '2022200000000012309' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2022200000000012309, '2042600000205', 2022200000000000450, 98)
ERROR - 2023-06-06 06:33:29 --> Query error: Duplicate entry '2022200000000012310' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2022200000000012310, '23', 2022200000000000449, 95)
ERROR - 2023-06-06 06:33:29 --> Query error: Duplicate entry '2022200000000012311' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2022200000000012311, '24', 2022200000000000449, 95)
ERROR - 2023-06-06 06:33:29 --> Query error: Duplicate entry '2022200000000012312' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2022200000000012312, '25', 2022200000000000449, 95)
ERROR - 2023-06-06 06:33:29 --> Query error: Duplicate entry '2022200000000012313' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2022200000000012313, '26', 2022200000000000449, 95)
ERROR - 2023-06-06 06:33:29 --> Query error: Duplicate entry '2022200000000012314' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2022200000000012314, '27', 2022200000000000449, 95)
ERROR - 2023-06-06 06:33:29 --> Query error: Duplicate entry '2022200000000012315' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2022200000000012315, '2042600000271', 2022200000000000449, 95)
ERROR - 2023-06-06 06:33:29 --> Query error: Duplicate entry '2022200000000012316' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2022200000000012316, '28', 2022200000000000449, 95)
ERROR - 2023-06-06 06:33:29 --> Query error: Duplicate entry '2022200000000012317' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2022200000000012317, '29', 2022200000000000449, 95)
ERROR - 2023-06-06 06:33:29 --> Query error: Duplicate entry '2022200000000012318' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2022200000000012318, '30', 2022200000000000449, 95)
ERROR - 2023-06-06 06:33:29 --> Query error: Duplicate entry '2022200000000012319' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2022200000000012319, '31', 2022200000000000449, 95)
ERROR - 2023-06-06 06:33:29 --> Query error: Duplicate entry '2022200000000012321' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2022200000000012321, '4', 2022200000000000451, 95)
ERROR - 2023-06-06 06:33:29 --> Query error: Duplicate entry '2022200000000012322' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2022200000000012322, '5', 2022200000000000451, 95)
ERROR - 2023-06-06 06:33:29 --> Query error: Duplicate entry '2022200000000012323' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2022200000000012323, '6', 2022200000000000451, 95)
ERROR - 2023-06-06 06:33:29 --> Query error: Duplicate entry '2022200000000012324' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2022200000000012324, '7', 2022200000000000451, 95)
ERROR - 2023-06-06 06:33:29 --> Query error: Duplicate entry '2022200000000012325' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2022200000000012325, '8', 2022200000000000451, 95)
ERROR - 2023-06-06 06:33:29 --> Query error: Duplicate entry '2022200000000012326' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2022200000000012326, '9', 2022200000000000451, 95)
ERROR - 2023-06-06 06:33:29 --> Query error: Duplicate entry '2022200000000012327' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2022200000000012327, '10', 2022200000000000451, 95)
ERROR - 2023-06-06 11:54:06 --> Query error: Duplicate entry 'RXdPSlZGN2lPS3h1cXBFNklLTmZWQT09OmJUUmtjalJ6TkdoaU1YTTBaREJ1T...' for key 'lembaga_id' - Invalid query: ALTER TABLE `e_siswa` ADD UNIQUE KEY `lembaga_id` (`lembaga_id`,`siswa_nis`);
ERROR - 2023-06-06 11:54:06 --> Query error: Duplicate entry '2021-1-74-2021100000000000007-5-PH 1' for key 'tahunajaran_id' - Invalid query: ALTER TABLE `e_komponennilai` ADD UNIQUE KEY `tahunajaran_id` (`tahunajaran_id`,`semester_id`,`mapel_id`,`kelas_id`,`jenisnilai_id`,`komponennilai_nama`);
