ERROR - 2021-12-22 16:00:07 --> Query error: Duplicate entry '2021100000000025524' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2021100000000025524, '2042600000204', 2021100000000000927, 90)
ERROR - 2021-12-22 16:00:07 --> Query error: Duplicate entry '2021100000000025525' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2021100000000025525, '2042600000205', 2021100000000000927, 90)
ERROR - 2021-12-22 16:00:07 --> Query error: Duplicate entry '2021100000000025526' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2021100000000025526, '4', 2021100000000000928, 91)
ERROR - 2021-12-22 16:00:07 --> Query error: Duplicate entry '2021100000000025527' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2021100000000025527, '5', 2021100000000000928, 91)
ERROR - 2021-12-22 16:00:07 --> Query error: Duplicate entry '2021100000000025528' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2021100000000025528, '6', 2021100000000000928, 91)
ERROR - 2021-12-22 16:00:07 --> Query error: Duplicate entry '2021100000000025529' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2021100000000025529, '2042600000207', 2021100000000000927, 90)
ERROR - 2021-12-22 16:00:07 --> Query error: Duplicate entry '2021100000000025530' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2021100000000025530, '8', 2021100000000000928, 95)
ERROR - 2021-12-22 16:00:07 --> Query error: Duplicate entry '2021100000000025531' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2021100000000025531, '2042600000209', 2021100000000000927, 90)
ERROR - 2021-12-22 16:00:07 --> Query error: Duplicate entry '2021100000000025532' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2021100000000025532, '10', 2021100000000000928, 91)
ERROR - 2021-12-22 16:00:07 --> Query error: Duplicate entry '2021100000000025533' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2021100000000025533, '11', 2021100000000000928, 95)
ERROR - 2021-12-22 16:00:07 --> Query error: Duplicate entry '2021100000000025534' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2021100000000025534, '12', 2021100000000000928, 93)
ERROR - 2021-12-22 16:00:07 --> Query error: Duplicate entry '2021100000000025535' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2021100000000025535, '2042600000222', 2021100000000000928, 91)
ERROR - 2021-12-22 16:00:07 --> Query error: Duplicate entry '2021100000000025536' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2021100000000025536, '13', 2021100000000000928, 95)
ERROR - 2021-12-22 16:00:07 --> Query error: Duplicate entry '2021100000000025537' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2021100000000025537, '14', 2021100000000000928, 91)
ERROR - 2021-12-22 16:00:07 --> Query error: Duplicate entry '2021100000000025538' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2021100000000025538, '2042600000216', 2021100000000000927, 90)
ERROR - 2021-12-22 16:00:07 --> Query error: Duplicate entry '2021100000000025539' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2021100000000025539, '16', 2021100000000000928, 92)
ERROR - 2021-12-22 16:00:07 --> Query error: Duplicate entry '2021100000000025540' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2021100000000025540, '2042600000218', 2021100000000000927, 90)
ERROR - 2021-12-22 16:00:07 --> Query error: Duplicate entry '2021100000000025541' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2021100000000025541, '2042600000219', 2021100000000000927, 90)
ERROR - 2021-12-22 16:00:07 --> Query error: Duplicate entry '2021100000000025542' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2021100000000025542, '19', 2021100000000000928, 91)
ERROR - 2021-12-22 16:00:07 --> Query error: Duplicate entry '2021100000000025543' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2021100000000025543, '2042600000203', 2021100000000000929, 98)
ERROR - 2021-12-22 16:00:07 --> Query error: Duplicate entry '2021100000000025544' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2021100000000025544, '2042600000204', 2021100000000000929, 98)
ERROR - 2021-12-22 16:00:07 --> Query error: Duplicate entry '2021100000000025545' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2021100000000025545, '2042600000205', 2021100000000000929, 98)
ERROR - 2021-12-22 16:00:07 --> Query error: Duplicate entry '2021100000000025546' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2021100000000025546, '118', 2021100000000000929, 98)
ERROR - 2021-12-22 16:00:07 --> Query error: Duplicate entry '2021100000000025547' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2021100000000025547, '119', 2021100000000000929, 98)
ERROR - 2021-12-22 16:00:07 --> Query error: Duplicate entry '2021100000000025548' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2021100000000025548, '2042600000206', 2021100000000000929, 98)
ERROR - 2021-12-22 16:00:07 --> Query error: Duplicate entry '2021100000000025549' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2021100000000025549, '2042600000207', 2021100000000000929, 98)
ERROR - 2021-12-22 16:00:07 --> Query error: Duplicate entry '2021100000000025550' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2021100000000025550, '2042600000208', 2021100000000000929, 98)
ERROR - 2021-12-22 16:00:07 --> Query error: Duplicate entry '2021100000000025551' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2021100000000025551, '2042600000209', 2021100000000000929, 98)
ERROR - 2021-12-22 16:00:07 --> Query error: Duplicate entry '2021100000000025552' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2021100000000025552, '2042600000210', 2021100000000000929, 98)
ERROR - 2021-12-22 16:00:07 --> Query error: Duplicate entry '2021100000000025553' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2021100000000025553, '2042600000211', 2021100000000000929, 98)
ERROR - 2021-12-22 16:00:07 --> Query error: Duplicate entry '2021100000000025554' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2021100000000025554, '2042600000212', 2021100000000000929, 98)
ERROR - 2021-12-22 16:00:07 --> Query error: Duplicate entry '2021100000000025555' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2021100000000025555, '2042600000213', 2021100000000000929, 98)
ERROR - 2021-12-22 16:00:07 --> Query error: Duplicate entry '2021100000000025556' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2021100000000025556, '2042600000214', 2021100000000000929, 98)
